chr	pos 	N	X
chr21	5032525	2	2
chr21	5032533	2	2
chr21	5032540	2	2
chr21	5032557	2	2
chr21	5032565	2	2
chr21	5032587	2	1
chr21	5033370	1	1
chr21	5033373	1	1
chr21	5033665	1	1
chr21	5033702	1	1
chr21	5033717	1	1
chr21	5033719	1	1
chr21	5033795	2	2
chr21	5033813	3	3
chr21	5033816	3	3
chr21	5033827	5	5
chr21	5033843	5	4
chr21	5033856	5	5
chr21	5033859	5	5
chr21	5033870	6	5
chr21	5033886	4	4
chr21	5033899	4	4
chr21	5033902	4	4
chr21	5033924	3	3
chr21	5033942	4	3
chr21	5033945	4	4
chr21	5033956	4	4
chr21	5033972	3	3
chr21	5033985	3	2
chr21	5033988	2	2
chr21	5034010	1	1
chr21	5034015	1	1
chr21	5034021	1	1
chr21	5034028	1	1
chr21	5034230	2	2
chr21	5034244	2	2
chr21	5034265	2	2
chr21	5034289	3	3
chr21	5034300	3	3
chr21	5034327	1	1
chr21	5034339	1	1
chr21	5034343	1	1
chr21	5034351	1	1
chr21	5034370	1	1
chr21	5035629	1	1
chr21	5035691	1	1
chr21	5035713	1	1
chr21	5036267	1	1
chr21	5036275	1	1
chr21	5036314	1	0
chr21	5037209	1	0
chr21	5037256	1	1
chr21	5038170	1	1
chr21	5038193	2	2
chr21	5039224	1	1
chr21	5039232	1	1
chr21	5039301	1	1
chr21	5051479	1	1
chr21	5053855	1	1
chr21	5053874	1	1
chr21	5062861	1	1
chr21	5062885	1	1
chr21	5062893	1	1
chr21	5063016	1	1
chr21	5063020	1	1
chr21	5063026	1	1
chr21	5063032	1	1
chr21	5063095	1	1
chr21	5063301	1	1
chr21	5063305	1	1
chr21	5063314	1	1
chr21	5063323	1	1
chr21	5063557	1	0
chr21	5063588	1	1
chr21	5064722	1	1
chr21	5064759	2	2
chr21	5064768	2	2
chr21	5064782	2	2
chr21	5064811	1	1
chr21	5065566	2	0
chr21	5065571	2	0
chr21	5065579	2	0
chr21	5066324	1	1
chr21	5066358	1	1
chr21	5066360	1	1
chr21	5066364	1	1
chr21	5066385	1	1
chr21	5067172	1	1
chr21	5067896	1	1
chr21	5069068	1	1
chr21	5069076	1	1
chr21	5069132	1	1
chr21	5070349	1	1
chr21	5070847	1	1
chr21	5070893	1	1
chr21	5071167	1	1
chr21	5071944	1	1
chr21	5071961	1	1
chr21	5073485	2	2
chr21	5073531	2	2
