chr	pos 	N	X
chr21	5030578	2	2
chr21	5033295	1	1
chr21	5033370	2	2
chr21	5033373	2	1
chr21	5033581	1	1
chr21	5033590	1	1
chr21	5033598	1	1
chr21	5033602	1	1
chr21	5033665	1	1
chr21	5033856	1	1
chr21	5033859	1	1
chr21	5033870	1	1
chr21	5033886	1	1
chr21	5033899	1	1
chr21	5033902	1	1
chr21	5033924	3	3
chr21	5033942	3	3
chr21	5033945	3	3
chr21	5033956	3	3
chr21	5033972	4	3
chr21	5033985	5	5
chr21	5033988	5	5
chr21	5034010	2	2
chr21	5034015	2	2
chr21	5034021	2	2
chr21	5034028	2	2
chr21	5034066	1	1
chr21	5034289	1	1
chr21	5034300	1	1
chr21	5034327	1	1
chr21	5034339	1	1
chr21	5034343	1	1
chr21	5034351	1	1
chr21	5036267	2	2
chr21	5036275	2	1
chr21	5036314	1	1
chr21	5036328	1	1
chr21	5036337	1	1
chr21	5037147	1	0
chr21	5037175	2	2
chr21	5037196	3	3
chr21	5037209	3	3
chr21	5038025	1	1
chr21	5038077	1	1
chr21	5038170	1	1
chr21	5038193	2	2
chr21	5038251	2	2
chr21	5038267	2	2
chr21	5038278	1	1
chr21	5038292	1	1
chr21	5038539	2	2
chr21	5038549	2	2
chr21	5038582	2	2
chr21	5038614	1	1
chr21	5039091	1	1
chr21	5059374	1	1
chr21	5059389	2	2
chr21	5059445	1	1
chr21	5059458	1	1
chr21	5062756	1	1
chr21	5062761	1	1
chr21	5062780	1	0
chr21	5062795	1	1
chr21	5062807	1	1
chr21	5062861	1	0
chr21	5062885	1	0
chr21	5062893	1	0
chr21	5063016	1	1
chr21	5063020	1	1
chr21	5063026	1	1
chr21	5063032	1	1
chr21	5063095	1	1
chr21	5063227	1	1
chr21	5063239	1	1
chr21	5063301	1	1
chr21	5064685	1	1
chr21	5064696	1	1
chr21	5064703	1	1
chr21	5064722	2	2
chr21	5064759	1	0
chr21	5064768	1	1
chr21	5064782	1	1
chr21	5065566	4	0
chr21	5065571	4	2
chr21	5065579	3	1
chr21	5065705	1	0
chr21	5065710	1	0
chr21	5065719	1	0
chr21	5065740	1	0
chr21	5065747	2	0
chr21	5065792	1	0
chr21	5065811	1	0
chr21	5065821	1	0
chr21	5065975	1	0
chr21	5066004	3	1
chr21	5066068	2	2
chr21	5066095	1	1
chr21	5066284	1	1
chr21	5066317	1	1
chr21	5066364	1	1
chr21	5066385	1	1
chr21	5069068	1	1
chr21	5069076	1	1
chr21	5069545	1	1
chr21	5069601	1	1
chr21	5069615	1	1
chr21	5070349	2	2
chr21	5070388	1	1
chr21	5071078	1	1
chr21	5071167	1	1
chr21	5073412	1	1
chr21	5073414	1	1
chr21	5073431	1	1
chr21	5073438	2	2
chr21	5073468	2	2
chr21	5073485	2	2
chr21	5083250	1	1
chr21	5083256	1	1
chr21	5083258	1	1
chr21	5083268	1	1
chr21	5083302	1	1
chr21	5083332	1	1
chr21	5085599	1	0
chr21	5085634	1	1
chr21	5085653	1	1
chr21	5085677	1	1
chr21	5085685	1	0
chr21	5085941	1	1
chr21	5085959	1	1
chr21	5086492	2	1
chr21	5086494	2	0
chr21	5086496	1	0
chr21	5086498	1	0
chr21	5086500	1	0
chr21	5086502	1	0
